Restaurant Name,cuisine,location,avg_price,price_norm
beer  nuts,multi cuisine,basantapur,328.57142857142856,0.9947534546084842
belgian waffles,waffles,durbarmarg,239.78571428571428,0.9962437324651546
belgian waffles  jhamsikhel,waffles,jhamsikhel,246.15384615384616,0.9961368426801507
bev lounge by indreni suite hotel,multi cuisine,new baneshwor,624.5038167938932,0.9897861973330587
bfc  bites fried chicken,fastfood,kumaripati,400.22222222222223,0.9935507882555726
bhetghat cafe,multi cuisine,tripureshwor bluebird mall,172.69767441860466,0.9973698125002789
bhetghat restaurant,nepali,hanumanthan anamnagar,331.0592105263158,0.9947116969181912
bhumi,newari,lazimpat,461.413768115942,0.9925236815121681
bhuse chulo,nepali,bakhundole,479.05405405405406,0.9922275873969109
big bake,bakery,baluwatar,743.8095238095239,0.9877836380838572
big boy breakfast,healthy breakfast,pulchowk  opposite of sajha petrol pump,573.3333333333334,0.9906450994552063
bigb real hamburger,fastfood,thamel,333.1607142857143,0.9946764229493602
biko thakali restaurant and bar,nepali and thakali cuisine,airport sinamangal,300.4320987654321,0.9952257763152902
biryani adda  tandoor  baluwatar,indian multi cuisine,baluwatar,621.4981818181818,0.9898366472425466
biryani adda  tandoor  kumaripati,biryani,kumaripati,628.1914110429448,0.989724300663105
biryani adda  tandoor mid baneshwor,indian multi cuisine,mid baneshwor,618.240490797546,0.9898913279401227
biryani angan  gaushala,indian,bijaychowk gaushala,916.6666666666666,0.9848822121682155
biryani ghar,indian,baluwatar,423.6111111111111,0.9931582032154719
biryani king,indian cuisine,boudha,504.17045454545456,0.9918060058869491
biryani king  naxal,biryani,naxal,504.17045454545456,0.9918060058869491
bisauni sekuwa ghar and cafe,tibetian  sherpa cuisine  sekuwa,boudha tinchuli,460.46610169491527,0.9925395881959642
bliss balls,lab tested food,bachapokhari naxal,2601.0,0.9566104942447542
bodhi books and bakes,multi cuisine,tangal marg,641.5979381443299,0.9894992706497207
bota simply mo mo  kumaripati,fast food,kumaripati,284.25531914893617,0.9954973053179982
bota simply momo  kamal pokhari,fast food,kamal pokhari,281.68674698795184,0.9955404190806746
bowl house,fast food,dhumbarahi,629.4,0.9897040143662045
bricks cafe firewood pizza,italian,kupondole,600.8263157894737,0.9901836267588627
buingal lounge  bar,multi cuisine,maitidevi kathmandu,431.358024691358,0.9930281704296903
bungalow bar  kitchen,thai,bhatbhateni,641.5602836879433,0.9894999026838606
burger house  crunchy fried chicken  boudha,multi cuisine,baudha,266.4423076923077,0.9957962986498421
burger hut,burger,banasthali,201.0,0.996894754891681
burger shack  jawalakhel,fast food  burger,jawalakhel,327.14285714285717,0.9947774333350597
burger shack  kamaladi,fast food  burger,kamaladi,335.3488372093023,0.9946396950684513
burger station  sekuwa corner,multi cuisine,balkumari,449.1885245901639,0.9927288835524449
cabana restaurant  bar,multi cuisine,lazimpat,704.391686746988,0.9884452707598427
cafe aalaya,multi cuisine,subidanagar tinkune,506.77777777777777,0.9917622416833317
cafe and cucina,continental,pulchowk,688.5593220338983,0.9887110187209924
cafe arica,continental,baluwatar chowk,333.09859154929575,0.9946774656862378
